,artist,title,medium,height,width,creation_year,country,fold_ix
312,"Brandt, Bill",Porter at Billingsgate Market,Photograph,288,343,1934,Other,2
313,"Boxall, Sir William",Geraldine,OilPaintCanvas,838,1156,1850,UK,3
314,"Sander, Ludwig",Three Blues,Lithograph,464,410,1966,Other,4
315,"MacWhirter, John",June in the Austrian Tyrol,OilPaintCanvas,1871,1260,1892,UK,5
316,"Magritte, Ren",The Annunciation,OilPaintCanvas,1459,1137,1930,Other,1
317,"Ayrton, Michael",Portrait of Wyndham Lewis,OilPaintCanvas,1000,805,1955,UK,2
318,"Weston, Edward",Shells,Photograph,180,238,1927,US,3
319,"Sutherland, Graham, OM",Standing Forms II,OilPaintCanvas,1410,1800,1952,UK,4
320,"Clark, Joseph",Early Promise,OilPaintCanvas,634,780,1877,UK,5
321,"Zack, Leon",Painting,OilPaintCanvas,1305,975,1952,Other,1
322,"Biermann, Aenne",Ceramic Cup,Photograph,170,125,1929,Other,2
323,"Beare, George","Portrait of a Gentleman, possibly Hugh Marriott",OilPaintCanvas,632,759,1746,Other,3
324,"Moholy-Nagy, Lszl",K VII,OilPaintCanvas,1359,1153,1922,Other,4
325,"Blanche, Jacques-Emile","August Morning, Dieppe Beach",OilPaintCanvas,603,730,1934,Other,5
326,"Macallum, Hamilton",A Capri Boy,Watercolor,445,343,1883,UK,1
327,"Butler, Elizabeth",The Remnants of an Army,OilPaintCanvas,2337,1321,1879,Other,2
328,"Wyllie, William Lionel",The Battle of the Nile,OilPaintCanvas,2743,1524,1899,UK,3
329,"Daglish, Peter",To Paris,Lithograph,660,505,1969,UK,4
330,"O'Conor, Roderic",Landscape,OilPaintCanvas,924,679,1895,Other,5
331,"Friedlander, Lee","Jersey City, New Jersey",Photograph,285,190,1963,US,1
332,"Mitidieri, Dario","Woman, Ethiopia",Photograph,375,255,1991,Other,2
333,"Swynnerton, Annie Louisa",Miss Elizabeth Williamson on a Pony,OilPaintCanvas,1312,1682,1906,UK,3
334,"Monamy, Peter",Ships in Distress in a Storm,OilPaintCanvas,1064,765,1720,Other,4
335,"Rennell, Lady Mary",Welsh Landscape,Lithograph,368,765,1973,Other,5
336,"Crippa, Roberto",Aurora Borealis,OilPaintCanvas,702,600,1952,Other,1
337,"Ginner, Charles","La Vieille Balayeuse, Dieppe",OilPaintCanvas,470,630,1913,Other,2
338,"Holmes, Sir Charles John",Whernside,OilPaintCanvas,762,686,1917,UK,3
339,"George, Patrick","Hickbush, the Grove I",OilPaintCanvas,1270,530,1975,UK,4
340,"Brett, John",Florence from Bellosguardo,OilPaintCanvas,1013,600,1863,UK,5
341,"Mackinnon, Sine",Farm Buildings in Provence,OilPaintCanvas,410,270,1934,UK,1
342,"Ginesi, Edna",Everglades,OilPaintCanvas,1270,1015,1964,UK,2
343,"Dunoyer de Segonzac, Andr",Still Life with a Cabbage,OilPaintCanvas,921,730,1919,Other,3
344,"Wright, John Michael",Portrait of Mrs Salesbury with her Grandchildren Edward and Elizabeth Bagot,OilPaintCanvas,1336,1295,1675,UK,4
345,"Knight, Dame Laura",The Gypsy,OilPaintCanvas,406,610,1939,UK,5
346,"Kippenberger, Martin",Cologne Manifesto,Lithograph,1001,349,1985,Other,1
347,"Copley, John Singleton",Portrait of Mrs Gill,OilPaintCanvas,1022,1280,1770,US,2
348,"Clav, Antoni",Child with a Water-Melon,OilPaintCanvas,457,549,1947,Other,3
349,"Campbell, James",The Lollipop,OilPaintCanvas,300,350,1855,UK,4
350,"Graham, Peter",A Rainy Day,OilPaintCanvas,1803,1168,1871,UK,5
351,"Devas, Anthony",Mrs Dylan Thomas,OilPaintCanvas,635,762,1942,UK,1
352,"Porter, Stephen",Untitled,Screenprint,533,737,1968,Other,2
353,"Challenger, Michael",Rememory,Screenprint,210,330,1975,UK,3
354,"Plowman, Chris",Clues,Screenprint,695,508,1978,UK,4
355,"Jorn, Asger",Letter to my Son,OilPaintCanvas,1955,1300,1956,Other,5
356,"Andreenko, Michel",Constructivist Space,OilPaintCanvas,384,485,1922,Other,1
357,"Le Sidaner, Henri",Moonlight at Gerberoy,OilPaintCanvas,813,654,1904,Other,2
358,"Mellors, Nathaniel",Time Surgeon Performers Mask,Lithograph,242,320,2007,UK,3
359,"Gibbs, Evelyn",Santu Pietru,Lithograph,670,505,1977,UK,4
360,"Morandi, Giorgio",Still Life,OilPaintCanvas,280,248,1960,Other,5
361,"Rosenberg, Isaac",Self-Portrait,OilPaintCanvas,387,495,1911,UK,1
362,"Avery, Milton",Yellow Sky,OilPaintCanvas,1841,1562,1958,US,2
363,"Soutine, Cham",Cagnes Landscape with Tree,OilPaintCanvas,727,600,1925,Other,3
364,"Brown, Frederick",The Ivy Arch,OilPaintCanvas,610,457,1933,UK,4
365,"Atwood, Clare",John Gielguds Room,OilPaintCanvas,762,629,1933,UK,5
366,"Wood, Christopher",Zebra and Parachute,OilPaintCanvas,559,457,1930,UK,1
367,"Pringle, John Quinton",Bosham,Watercolor,337,289,1903,UK,2
368,"Shannon, Sir James Jebusa",Madame Patey,OilPaintCanvas,889,1275,1884,US,3
369,"Weight, Carel",LAprs-midi dune ouvrire,OilPaintCanvas,559,464,1935,UK,4
370,"Copley, William N.",Place de lOpra,OilPaintCanvas,810,1159,1956,US,5
371,"Hennell, Thomas","Slipway, Reykjavik Harbour. August 12, 1943",Watercolor,635,479,1943,UK,1
372,"Hirata, Minoru","Collective Kumos Street Happening at the Tenjin Intersection of Fukuoka, February 26,1970",Photograph,222,335,1970,Other,2
373,"Walton, Henry",A Girl Buying a Ballad,OilPaintCanvas,717,921,1778,UK,3
374,"Law, Bob",Untitled 1.5.87,Watercolor,750,566,1987,UK,4
375,"Gow, Mary",Marie-Antoinette,Watercolor,1333,775,1908,UK,5
376,"Friend, Ian",Three Sculptural Images,Lithograph,775,488,1984,UK,1
377,"Korner, John",Star Flower,Screenprint,410,305,1967,Other,2
378,"Town, Harold","Tyranny of the Corner, Persian Set",OilPaintCanvas,1626,2038,1962,Other,3
379,"Matschinsky-Denninghof, Brigitte",Untitled B,Lithograph,768,559,1964,Other,4
380,"Cowie, James",An Outdoor School of Painting,OilPaintCanvas,1651,864,1938,UK,5
381,"Wong, Judy",Four Figures,Lithograph,698,1000,1978,Other,1
382,"Wissing, Willem",Portrait of Henrietta and Mary Hyde,OilPaintCanvas,1120,1530,1683,Other,2
383,"Fisher, Mark",Snow Scene,OilPaintCanvas,660,457,1894,US,3
384,"Taylor, Leonard Campbell",The Rehearsal,OilPaintCanvas,3060,2145,1907,UK,4
385,"Macdonald, Georgina",Dead Bird,Watercolor,178,99,1857,Other,5
386,"Verelst, Harman","Portrait of a lady, thought to be Dionesse Cullum, wife of Robert Colman",OilPaintCanvas,630,750,1685,Other,1
387,"Gauld, Peter","The Pantiles, Tunbridge Wells",Lithograph,537,479,1974,Other,2
388,"Ledger, Janet",Play Street,Lithograph,406,286,1976,UK,3
389,"Glendening, Alfred",Haymaking,Watercolor,914,597,1898,UK,4
390,"Knight, Charles Parsons",The Kyles of Bute,OilPaintCanvas,1105,622,1893,Other,5
391,"Chandler, J.W.",William Godwin,OilPaintCanvas,622,749,1798,Other,1
392,"Clemente, Jack",Volcanic City,OilPaintCanvas,889,1457,1957,Other,2
393,"Bridell, Frederick Lee","The Woods of Sweet Chestnut above Varenna, Lake Como",OilPaintCanvas,1505,559,1860,UK,3
394,"Unwin, Marianne",The Woodyard,Lithograph,571,445,1976,UK,4
395,"Morris, Michael",Screen Test,Screenprint,479,324,1967,UK,5
396,"Mirea, Joan",Transylvanian Nude,Lithograph,381,556,1966,Other,1
397,"Procter, Ernest",The Zodiac,OilPaintCanvas,1676,1524,1925,UK,2
398,"Bacon, John Henry F.",Michael Lewis Myers,OilPaintCanvas,832,702,1906,UK,3
399,"Peploe, Samuel John",Tulips,OilPaintCanvas,508,610,1923,UK,4
400,"Clarke Hall, Lady Edna",Still Life of a Basket on a Chair,OilPaintCanvas,406,558,1900,UK,5
401,"Daws, Lawrence",Pacific Eye,Screenprint,613,610,1972,Other,1
402,"Christie, John",Homage to Ursonate,Screenprint,466,245,1981,Other,2
403,"Ladbrooke, Robert",Wood Scene,OilPaintCanvas,743,600,1806,UK,3
404,"Benrath, Frdric",Untitled,Lithograph,293,428,1956,Other,4
405,"Bennett, William",In Richmond Park,Watercolor,546,368,1852,Other,5
406,"Poliakoff, Serge",Abstract Composition,OilPaintCanvas,889,1159,1954,Other,1
407,"Lewis, A. Neville","Charlie, a Little Gipsy Boy",OilPaintCanvas,254,356,1923,Other,2
408,"Guthrie, Robin",Sermon on the Mount,OilPaintCanvas,1840,2450,1922,UK,3
409,"Jones, Gareth",Diamond,Lithograph,210,260,1999,UK,4
410,"Douglas, Sir William Fettes",Bibliomania,OilPaintCanvas,1295,889,1852,UK,5
411,"John, Richard Johnny",Three Friendly Warnings,Lithograph,83,119,1973,Other,1
412,"Chase, William",The Keynote,OilPaintCanvas,405,506,1915,Other,2
413,"Siddal, Elizabeth Eleanor",Sir Patrick Spens,Watercolor,229,241,1856,UK,3
414,"Landseer, Charles",The Plundering of Basing House,OilPaintCanvas,1257,1003,1836,Other,4
415,"Lam, Wifredo",[no title],Lithograph,546,749,1975,Other,5
416,"Small, William",The Last Match,OilPaintCanvas,1003,1308,1887,UK,1
417,"Amiet, Cuno",Landscape from the Jura Mountains,Watercolor,298,251,1924,Other,2
418,"Draper, Herbert",The Lament for Icarus,OilPaintCanvas,1556,1829,1898,UK,3
419,"Cook, Richard","Lelant, November 1998",OilPaintCanvas,1979,1527,1998,UK,4
420,"Woodward, Thomas",Horses Surprised by Wolves,OilPaintCanvas,1372,733,1842,Other,5
421,"Morison, Colin",Andromache Offering Sacrifice to Hectors Shade,OilPaintCanvas,760,615,1760,UK,1
422,"Dicksee, Sir Frank",The Two Crowns,OilPaintCanvas,1823,2311,1900,UK,2
423,"Herring, John Frederick",The Hunting Stud,OilPaintCanvas,708,454,1845,UK,3
424,"Williams, Aubrey",Tribal Mark,OilPaintCanvas,1020,760,1961,Other,4
425,"Barclay, Claire",Untitled,Screenprint,420,595,2010,UK,5
426,"Jemec, Andrej",Escalation towards Light,Screenprint,600,597,1974,Other,1
427,"Toledano, Edward",Single Image,Lithograph,641,502,1977,US,2
428,"Colla, Ettore",Screenprint,Screenprint,502,352,1953,Other,3
429,"Macbeth, Robert Walker",The Cast Shoe,OilPaintCanvas,1372,832,1890,UK,4
430,"Buhler, Robert",Barnett Freedman,OilPaintCanvas,635,762,1947,UK,5
431,"Ciardi, Emma",Diaphanous Day,OilPaintCanvas,807,603,1924,Other,1
432,"Strudwick, John Melhuish",A Golden Thread,OilPaintCanvas,425,724,1885,UK,2
433,"Montpetit, Guy",The Flying Man,Lithograph,559,756,1971,Other,3
434,"Millet, Francis Davis",Between Two Fires,OilPaintCanvas,914,740,1892,US,4
435,"Morisot, Berthe",Girl on a Divan,OilPaintCanvas,502,610,1885,Other,5
436,"Mintchine, Abraham",Portrait of the Artist as a Harlequin,OilPaintCanvas,502,730,1931,Other,1
437,"Schulz-Dornburg, Ursula","From Medina to Jordan Border, Saudi Arabia",Photograph,334,257,2003,Other,2
438,"Dentith, Henry",Still Life,Lithograph,514,702,1970,UK,3
439,"Farquharson, Joseph",The Joyless Winter Day,OilPaintCanvas,1803,1041,1883,UK,4
440,"Patrick, J. McIntosh",Winter in Angus,OilPaintCanvas,1016,756,1935,UK,5
441,"Adler, Jankel",The Mutilated,OilPaintCanvas,1118,864,1942,Other,1
442,"Hartrick, Archibald Standish",Womens Work: On Munitions - Heavy Work (Drilling and Casting),Lithograph,357,461,1917,Other,2
443,"Chandra, Avinash",Hills of Gold,OilPaintCanvas,2413,1016,1964,Other,3
444,"Gray, Ronald",My Mother,OilPaintCanvas,610,737,1908,UK,4
445,"Nevinson, Christopher Richard Wynne",The Soul of the Soulless City (New York - an Abstraction),OilPaintCanvas,608,915,1920,UK,5
446,"Craig, Frank",The Heretic,OilPaintCanvas,1473,817,1906,UK,1
447,"Shemza, Anwar Jalal",Meem Two,OilPaintCanvas,915,915,1967,Other,2
448,"Rooke, Thomas Matthews","Naomi, Ruth and Obed",OilPaintCanvas,394,660,1876,UK,3
449,"Organ, Bryan",Four Birds,Lithograph,486,660,1977,UK,4
450,"Collinson, James",Home Again,OilPaintCanvas,1155,827,1856,UK,5
451,"Schwabe, Randolph","The Radcliffe Observatory, Oxford",Watercolor,387,565,1942,UK,1
452,"Kennington, Eric",Making Soldiers: Bringing In Prisoners,Lithograph,362,457,1917,UK,2
453,"Callahan, Harry","Weed Against Sky, Detroit",Photograph,200,251,1948,US,3
454,"Butler, Mildred Anne",Morning Bath,Watercolor,521,711,1896,Other,4
455,"Cradock, Marmaduke",A Peacock and Other Birds in a Landscape,OilPaintCanvas,632,761,1700,UK,5
456,"Solomon, Solomon J.",A Family Group: The Artists Wife and Children: Papa Painting!,OilPaintCanvas,1753,1613,1905,UK,1
457,"Moffatt, Tracey",[no title],Lithograph,760,615,1997,Other,2
458,"Callery, Simon",Archive,OilPaintCanvas,3600,2540,1996,UK,3
459,"Khakhar, Bhupen",You Cant Please All,OilPaintCanvas,1756,1756,1981,Other,4
460,"Soldi, Andrea","Portrait of Henry Lannoy Hunter in Oriental Dress, Resting from Hunting, with a Manservant Holding Game",OilPaintCanvas,1460,1185,1733,Other,5
461,"Shepperson, Claude",Convalescence in England,Lithograph,473,374,1917,UK,1
462,"Frenkel, Vera",Poem for Albert,Lithograph,235,533,1971,Other,2
463,"Kitadai, Shozo",Composition for APN,Photograph,110,160,1953,Other,3
464,"Hornel, Edward Atkinson",Autumn,OilPaintCanvas,1022,1168,1904,Other,4
465,"Dufy, Raoul",The Kessler Family on Horseback,OilPaintCanvas,2673,2195,1932,Other,5
466,"Lion, Flora",My Mother,OilPaintCanvas,1150,1276,1909,UK,1
467,"Gentleman, David",Gordale Scar,Lithograph,510,400,1978,UK,2
468,"Seddon, Thomas",The Mountains of Moab,Watercolor,352,251,1854,UK,3
469,"Percy, Sidney Richard",In Snowdonia,OilPaintCanvas,789,552,1853,Other,4
470,"Knight, Joseph",A Tidal River,OilPaintCanvas,1245,851,1877,Other,5
471,"Becker, Harald",Man and Dog,Screenprint,502,629,1973,Other,1
472,"Dunbar, Evelyn",A Land Girl and the Bail Bull,OilPaintCanvas,1829,914,1945,UK,2
473,"Kanovitz, Howard",English Fridge,Screenprint,889,613,1969,US,3
474,"Cuixart, Modestos",Untitled,Lithograph,241,222,1977,Other,4
475,"Wylie, Rose",Pin Up and Porn Queen Jigsaw,OilPaintCanvas,3660,3660,2005,UK,5
476,"Herring, Ed",Tie-Up,Photograph,170,245,1969,UK,1
477,"Frg, Gnther","The 28 October Childrens Holiday Camp, Marina di Massa",Photograph,1200,1800,1986,Other,2
478,"Maccoll, Dugald Sutherland",Crock and Cottage Loaf No. 2,OilPaintCanvas,279,356,1931,UK,3
479,"Hunter, Colin",Their Only Harvest,OilPaintCanvas,1822,1054,1879,UK,4
480,"Crutchfield, William",Cubie Smoke,Lithograph,1200,940,1978,US,5
481,"Denny, Robyn",Glass I. From Here,OilPaintCanvas,5182,2743,1971,UK,1
482,"Russell, Sir Walter",Carting Sand,OilPaintCanvas,1118,864,1910,UK,2
483,"Gilpin, Sawrey",Broodmares and Colts in a Landscape,OilPaintCanvas,749,629,1783,UK,3
484,"Hitchens, Ivon",Interior of a Wood,OilPaintCanvas,765,510,1934,UK,4
485,"Sillman, Amy",CLUBFOOT,OilPaintCanvas,2140,2310,2011,US,5
486,"Olivier, Herbert A.",Mrs Edwin Bale,OilPaintCanvas,610,508,1900,UK,1
487,"Brook, Peter",DECEMBER Sheep Coming In,Lithograph,711,511,1976,UK,2
488,"Carlisle, George Howard, Ninth Earl of","View from the Front of St John Lateran, Rome",Watercolor,737,533,1870,UK,3
489,"Coppola, Horacio",Egg and Twine,Photograph,282,235,1932,Other,4
490,"Hubert, Edgar",Painting,OilPaintCanvas,635,762,1935,UK,5
491,"Roboz, Zsuzsi",Rehearsal at Donmar Studios,Lithograph,479,381,1977,Other,1
492,"Henderson, Charles Cooper",Mail Coach in a Snowstorm,OilPaintCanvas,765,454,1835,UK,2
493,"Gilman, Harold",Nude at a Window,OilPaintCanvas,508,610,1912,UK,3
494,"Melland, Sylvia",Still Life with an Open Window,OilPaintCanvas,685,763,1931,UK,4
495,"Leaman, Jonathan",A Jan Steen Kitchen,OilPaintCanvas,1705,1235,1995,UK,5
496,"Barker, Margaret",Any Morning,OilPaintCanvas,914,622,1929,UK,1
497,"Cordery, Don",Goshawk,Lithograph,394,502,1977,UK,2
498,"Aldridge, John",Head and Fruit,OilPaintCanvas,813,660,1930,UK,3
499,"Zuloaga, Ignacio",View of the Escorial,OilPaintCanvas,406,292,1905,Other,4
500,"Dighton, William Edward",Jerusalem,Watercolor,756,429,1852,Other,5
501,"Celmins, Vija",Desert,Lithograph,416,315,1975,Other,1
502,"Stott of Oldham, William",Girl in a Meadow,OilPaintCanvas,578,718,1880,UK,2
503,"Linke, Simon",Remembering Marcel 1987,OilPaintCanvas,914,914,1988,Other,3
504,"Sterne, Hedda","NY, NY No. X",OilPaintCanvas,1155,810,1948,Other,4
505,"Laabs, Hans",Untitled,Screenprint,79,79,1971,Other,5
506,"Grosz, George",Suicide,OilPaintCanvas,775,1000,1916,Other,1
507,"Michell, Keith",Metamorphosis,Lithograph,765,603,1973,Other,2
508,"Thornton, Valerie",Bominaco (The Abruzzi),OilPaintCanvas,1372,917,1988,UK,3
509,"Zhang, Enli",Bucket 8,OilPaintCanvas,994,995,2007,Other,4
510,"Stamos, Theodorus",Spartan Sun Box I,Screenprint,657,606,1971,US,5
511,"Vieira da Silva, Maria Helena",Paris,OilPaintCanvas,457,327,1951,Other,1
512,"Pine, Robert Edge","Still Life with Palette and Brushes, Fruit and Flowers",OilPaintCanvas,617,452,1760,UK,2
513,"Oliver, Madge",Le Coin de lAtelier,OilPaintCanvas,368,425,1920,Other,3
514,Ert,Topaz,Lithograph,500,648,1969,Other,4
515,"Couderc, Gabriel",Cargo Ship in Ste,Lithograph,692,438,1947,Other,5
516,"Cohen, Lynne",Alpine Club before a Party,Photograph,240,192,1974,US,1
517,"Ardon, Mordecai","Missa Dura: The Knight, Crystal Night, House No. 5",OilPaintCanvas,520,195,1958,Other,2
518,"Hayman, Francis","Samuel Richardson, the Novelist (1684-1761), Seated, Surrounded by his Second Family",OilPaintCanvas,1252,995,1740,Other,3
519,"Dorazio, Piero",Very Sharp,OilPaintCanvas,2349,1556,1965,Other,4
520,"Potworowski, Peter",Forest (Cornwall),OilPaintCanvas,764,641,1954,Other,5
521,"Edwards, Edwin",The Thames from a Wharf at Waterloo Bridge,OilPaintCanvas,1448,654,1866,UK,1
522,"Benois, Alexander",Limburg on the Lahn,Watercolor,260,359,1894,Other,2
523,"Suschitzky, Peter",LA,Photograph,395,295,1995,UK,3
524,"Davie, Alan",Village Myths No. 36,OilPaintCanvas,1730,2135,1983,UK,4
525,"Delaunay, Sonia",Triptych,OilPaintCanvas,2000,997,1963,Other,5
526,Constant,"After Us, Liberty",OilPaintCanvas,1066,1395,1949,Other,1
527,"Gruber, Francis",Job,OilPaintCanvas,1299,1619,1944,Other,2
528,"Lalic, Maria",History Painting 42 C20th. Winsor Yellow,OilPaintCanvas,600,600,1995,UK,3
529,"Sargent, John Singer",Mrs Carl Meyer and her Children,OilPaintCanvas,1340,2014,1896,Other,4
530,"Velde, Bram van",[no title],Lithograph,225,292,1975,Other,5
531,"Hemy, Charles Napier",Evening Grey,OilPaintCanvas,914,571,1866,UK,1
532,"Bough, Samuel","Holmwood, Dorking",OilPaintCanvas,469,309,1856,UK,2
533,"Frampton, Edward Reginald",Brittany: 1914,OilPaintCanvas,926,768,1920,UK,3
534,"Still, Clyfford",1953,OilPaintCanvas,1740,2359,1953,US,4
535,"Beard, John",[no title],Screenprint,753,750,1998,UK,5
536,Le Corbusier,Bull III,OilPaintCanvas,1137,1619,1953,Other,1
537,"Goncharova, Natalya",Country by Day,OilPaintCanvas,240,160,1911,Other,2
538,"Speed, Harold","The Alcantara, Toledo, by Moonlight",OilPaintCanvas,914,635,1894,UK,3
539,"Young-Hunter, John",My Ladys Garden,OilPaintCanvas,1822,1067,1899,UK,4
540,"Merritt, Anna Lea",Love Locked Out,OilPaintCanvas,641,1156,1890,US,5
541,"Orr, Chris",Farm,Lithograph,854,645,1975,UK,1
542,"Swanson, John",The Carousel,Screenprint,791,679,1975,US,2
543,"Anuszkiewicz, Richard",Untitled,Screenprint,619,619,1965,US,3
544,"King, Scott","Joy Division, The Moonlight Club, 4 April 1980, West Hampstead, London, England",Lithograph,210,260,2000,UK,4
545,"Marcoussis, Louis",Interior with a Double Bass,OilPaintCanvas,606,495,1929,Other,5
546,"Downard, Ebenezer Newman","A Mountain Path at Capel Curig, Wales",OilPaintCanvas,502,352,1860,UK,1
547,"Camp, Jeffery",Southcoast,OilPaintCanvas,2745,1525,1990,UK,2
548,"Howard, Henry",The Florentine Girl (The Artists Daughter),OilPaintCanvas,610,965,1827,UK,3
549,"McKenna, Stephen",Large Studio at Castiglion,OilPaintCanvas,1601,1202,1993,UK,4
550,"Klein, Jochen",Untitled,Lithograph,260,210,1996,Other,5
551,"Marin, John","Downtown, New York",Watercolor,552,679,1923,US,1
552,"Smith, Gordon",Special Green,Screenprint,511,381,1967,UK,2
553,"Masi, Denis",Project Print,Screenprint,508,762,1973,US,3
554,"Jackson, F. Ernest",United Defence Against Aggression,Lithograph,438,632,1917,UK,4
555,"Uglow, Euan",Zagi,OilPaintCanvas,1070,1500,1981,UK,5
556,"Tworkov, Jack",KTL #1,Lithograph,612,611,1982,Other,1
557,"Hayes, Edwin","Sunset at Sea: From Harlyn Bay, Cornwall",OilPaintCanvas,1272,1012,1894,UK,2
558,"Coates, George",The Childrens Orchestra,OilPaintCanvas,908,813,1903,Other,3
559,"Adshead, Mary",The Cruise,OilPaintCanvas,1822,1420,1934,UK,4
560,"Tuttle, Richard",Sunday,Lithograph,357,460,2003,US,5
561,"Amuchastegui, Axel",Ocelot Head,Lithograph,406,518,1968,Other,1
562,"Komura, Kiyohiko",Untitled,Photograph,400,400,1950,Other,2
563,"Le Brocquy, Louis",Image of James Joyce,OilPaintCanvas,704,703,1977,Other,3
564,"Elwell, Frederick W.",The Beverley Arms Kitchen,OilPaintCanvas,1022,1283,1919,UK,4
565,"Dunlop, Ronald Ossory",Myself with Cadgers Pipe,OilPaintCanvas,502,610,1950,UK,5
566,"Morland, Henry Robert",A Girl Singing Ballads by a Paper Lanthorn,OilPaintCanvas,622,756,1765,Other,1
567,"Mariani, Carlo Maria",Offspring of Helios,Lithograph,870,622,1982,Other,2
568,"Manson, James Bolivar",Pinks in a Vase,OilPaintCanvas,406,508,1940,UK,3
569,"Beeton, Alan",Decomposing,OilPaintCanvas,394,343,1929,UK,4
570,"Parton, Ernest",The Waning of the Year,OilPaintCanvas,1308,1816,1879,Other,5
571,"Denis, Dominic",Untitled,Screenprint,687,598,1992,UK,1
572,"Grimshaw, Atkinson","Bowder Stone, Borrowdale",OilPaintCanvas,536,400,1863,UK,2
573,"Cartier-Bresson, Henri",Interior with Marilyn Monroe,Photograph,355,235,1960,Other,3
574,"Mason, George",The Harvest Moon,OilPaintCanvas,2311,864,1872,UK,4
575,"Lamb, Lynton",Winter Landscape,Lithograph,479,330,1962,Other,5
576,"Simmons, Rosemary",Phoebus,Lithograph,692,540,1965,Other,1
577,"Onslow-Ford, Gordon",A Present for the Past,OilPaintCanvas,1213,1013,1942,UK,2
578,"Ruwedel, Mark",Crater #9,Photograph,330,255,1999,US,3
579,"Frank, Robert","Studio, Mabou",Photograph,499,389,2002,Other,4
580,"Renger-Patzsch, Albert","Hamburg, St Nicholass Church",Photograph,168,227,1929,Other,5
581,"Kitaj, R.B.",Los Angeles No. 25 (Black Pool),OilPaintCanvas,920,920,2003,US,1
582,"Ferguson, William Gow",Still Life,OilPaintCanvas,540,654,1684,UK,2
583,"Dunstan, Bernard",Albergo Stella,Lithograph,298,318,1978,UK,3
584,"Pirie, Sir George",Mother Duck,OilPaintCanvas,610,457,1932,UK,4
585,"Cooke, Edward William","Boat, near Venice",OilPaintCanvas,400,279,1858,UK,5
586,"De Maistre, Roy",Marriage,OilPaintCanvas,1143,1524,1936,Other,1
587,"Corinth, Lovis",Magdalen with Pearls in her Hair,OilPaintCanvas,476,715,1919,Other,2
588,"Lambert, James",Landscape,OilPaintCanvas,1121,867,1769,UK,3
589,"Allinson, Adrian",Ibizan Waterfront,OilPaintCanvas,813,664,1933,UK,4
590,"Murphy, Myles",Figure with Yellow Foreground,OilPaintCanvas,2453,1520,1974,UK,5
591,"Stott, Edward",Changing Pastures,OilPaintCanvas,876,705,1893,Other,1
592,"Knights, Winifred",The Deluge,OilPaintCanvas,1835,1529,1920,UK,2
593,"Anquetin, Louis",Two Studies for The Three Graces,OilPaintCanvas,768,616,1899,Other,3
594,"Nellens, Roger",Machine IV,Screenprint,413,726,1972,Other,4
595,"Hill, John","Interior of the Carpenters Shop at Forty Hill, Enfield",OilPaintCanvas,688,470,1813,UK,5
596,"Phillips, Patrick",Mrs Carter Gifford,OilPaintCanvas,719,914,1947,Other,1
597,Guerrilla Girls,[no title],Screenprint,560,430,1985,Other,2
598,"Pitchforth, Roland Vivian","Wet Windscreen, Ramsgate Harbour",Watercolor,625,477,1971,UK,3
599,"Nechamkin, Sarah",Landscape,Lithograph,283,391,1960,Other,4
600,"Pulham, Peter Rose","LHtel Sully, Courtyard with Figures",OilPaintCanvas,1685,1398,1944,UK,5
601,"Van Leyden, Ernst",Girl with Clasped Hands,OilPaintCanvas,603,727,1931,Other,1
602,"Rutherston, Albert","The Pump, Nash End",OilPaintCanvas,508,406,1931,UK,2
603,"Jones, Barbara","Pineapple House, Stirling",Lithograph,476,629,1971,UK,3
604,"Redon, Odilon",Profile of a Woman with a Vase of Flowers,OilPaintCanvas,505,655,1895,Other,4
605,"Rouault, Georges",The Italian Woman,OilPaintCanvas,498,651,1938,Other,5
606,"Maclaren, Donald",D.S. MacColl,OilPaintCanvas,340,536,1906,UK,1
607,"Fini, Leonor",Little Hermit Sphinx,OilPaintCanvas,244,411,1948,Other,2
608,"Czanne, Paul",The Avenue at the Jas de Bouffan,OilPaintCanvas,460,381,1874,Other,3
609,"Windus, William Lindsay","Mrs Teed, the Artists Daughter",OilPaintCanvas,457,546,1880,UK,4
610,"Ayot, Pierre",... and Chewing Gum,Lithograph,483,705,1971,Other,5
611,"Bill, Simon",Fairy Face,Screenprint,303,361,2008,UK,1
612,"Tompkins, Hayley",No Title,Watercolor,208,292,2011,UK,2
613,"Miller, Harland",International Lonely Guy,Lithograph,141,192,2008,UK,3
614,"Gertler, Mark",Merry-Go-Round,OilPaintCanvas,1422,1892,1916,UK,4
615,"Hurlstone, Frederick Yeates",Sancho Panza Attended by his State Physician,OilPaintCanvas,1340,1092,1868,UK,5
616,"Wyatt, Henry",Archimedes,OilPaintCanvas,625,759,1832,Other,1
617,"Lely, Sir Peter",Man Playing a Pipe,OilPaintCanvas,1055,1428,1648,Other,2
618,"Craxton, John",Cretan Portrait,OilPaintCanvas,307,360,1948,UK,3
619,"Frlaut, Jean",Wedding Feast in Brittany,OilPaintCanvas,1308,895,1908,Other,4
620,"Carline, Richard",Sea Shore,OilPaintCanvas,562,940,1920,UK,5
621,"Markson, Helena",Tower of London,Lithograph,565,435,1968,UK,1
622,"Kelly, Ellsworth",Orange Relief with Green,OilPaintCanvas,2153,2375,1991,US,2
623,"Vollon, Antoine",Harbour at Marseilles,OilPaintCanvas,733,606,1882,Other,3
624,"Hoare, William",A Gentleman in Brown,OilPaintCanvas,639,765,1750,UK,4
